Name,Year,Age Rating,Duration,Category, 
The Sea Beast,2022,7+,1h 59m,Kids & Family Movies,
Sonic the Hedgehog,2020,7+,1h 41m,Kids & Family Movies,
Tom and Jerry,2021,7+,1h 41m,Kids & Family Movies,
We Can Be Heroes,2020,7+,1h 40m,Kids & Family Movies,
STAND BY ME Doraemon 2,2020,7+,1h 37m,Kids & Family Movies,
The Angry Birds Movie 2,2019,7+,1h 36m,Kids & Family Movies,
The Secret Life of Pets,2016,All,1h 26m,Kids & Family Movies,
Back to the Outback,2021,7+,1h 35m,Kids & Family Movies,
Kung Fu Panda 3,2016,7+,1h 34m,Kids & Family Movies,
The Karate Kid,2010,7+,2h 20m,Kids & Family Movies,
Kung Fu Panda,2008,7+,1h 34m,Kids & Family Movies,
Matilda,1996,7+,1h 38m,Kids & Family Movies,
Wish Dragon,2021,7+,1h 42m,Kids & Family Movies,
Scoob!,2020,7+,1h 33m,Kids & Family Movies,
How to Train Your Dragon,2010,7+,1h 40m,Kids & Family Movies,
The SpongeBob Movie: Sponge on the Run,2020,7+,1h 35m,Kids & Family Movies,
Hotel Transylvania 2,2015,7+,1h 29m,Kids & Family Movies,
Pokémon the Movie: Secrets of the Jungle,2021,7+,1h 39m,Kids & Family Movies,
Finding ‘Ohana,2021,7+,2h 3m,Kids & Family Movies,
Madagascar,2005,7+,1h 26m,Kids & Family Movies,
Kung Fu Panda 2,2011,7+,1h 32m,Kids & Family Movies,
Peter Rabbit 2,2021,7+,1h 33m,Kids & Family Movies,
Barbie Dolphin Magic,2017,All,1h 4m,Kids & Family Movies,
Howl’s Moving Castle,2004,7+,1h 59m,Kids & Family Movies,
Over the Moon,2020,7+,1h 40m,Kids & Family Movies,
Hotel Transylvania 3: Summer Vacation,2018,7+,1h 37m,Kids & Family Movies,
Monster House,2006,7+,1h 30m,Kids & Family Movies,
Madagascar: Escape 2 Africa,2008,7+,1h 31m,Kids & Family Movies,
The Spiderwick Chronicles,2008,7+,1h 37m,Kids & Family Movies,
Hotel Transylvania,2012,7+,1h 31m,Kids & Family Movies,
Skater Girl,2021,7+,1h 49m,Kids & Family Movies,
The Angry Birds Movie,2016,7+,1h 38m,Kids & Family Movies,
Shrek,2001,7+,1h 30m,Kids & Family Movies,
Stuart Little,1999,7+,1h 24m,Kids & Family Movies,
The Witches,2020,7+,1h 44m,Kids & Family Movies,
Madagascar 3: Europe's Most Wanted,2012,7+,1h 35m,Kids & Family Movies,
Goosebumps,2015,7+,1h 43m,Kids & Family Movies,
My Little Pony: A New Generation,2021,7+,1h 31m,Kids & Family Movies,
Megamind,2010,7+,1h 37m,Kids & Family Movies,
YES DAY,2021,7+,1h 29m,Kids & Family Movies,
Inside the Mind of a Cat,2022,7+,1h 7m,Kids & Family Movies,
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,7+,1h 22m,Kids & Family Movies,
Too Old for Fairy Tales,2022,7+,1h 46m,Kids & Family Movies,
13: The Musical,2022,7+,1h 34m,Kids & Family Movies,
My Little Pony: Make Your Mark,2022,All,1 Season,Kids & Family Movies,
Larva Pendant,2022,7+,33m,Kids & Family Movies,
Mighty Little Bheem: I Love Taj Mahal,2022,All,20m,Kids & Family Movies,
My Little Pony: A New Generation: Sing-Along,2022,7+,1h 30m,Kids & Family Movies,
Chip and Potato: Chip’s Holiday,2022,All,24m,Kids & Family Movies,
Rise of the Guardians,2012,7+,1h 39m,Kids & Family Movies,
Rescued by Ruby,2022,7+,1h 33m,Kids & Family Movies,
Cloudy with a Chance of Meatballs,2009,All,1h 29m,Kids & Family Movies,
A Boy Called Christmas,2021,7+,1h 46m,Kids & Family Movies,
Feel the Beat,2020,7+,1h 50m,Kids & Family Movies,
Ponyo,2008,7+,1h 41m,Kids & Family Movies,
Benji,2018,7+,1h 27m,Kids & Family Movies,
A Whisker Away,2020,7+,1h 45m,Kids & Family Movies,
Next Gen,2018,7+,1h 46m,Kids & Family Movies,
Little Women,1994,7+,1h 58m,Kids & Family Movies,
Vivo,2021,7+,1h 39m,Kids & Family Movies,
The Water Man,2021,7+,1h 33m,Kids & Family Movies,
Castle in the Sky,1986,7+,2h 4m,Kids & Family Movies,
White Fang,2018,7+,1h 27m,Kids & Family Movies,
The Christmas Chronicles,2018,7+,1h 45m,Kids & Family Movies,
Storks,2016,7+,1h 26m,Kids & Family Movies,
The Little Prince,2015,7+,1h 46m,Kids & Family Movies,
Klaus,2019,7+,1h 38m,Kids & Family Movies,
Words Bubble Up Like Soda Pop,2021,7+,1h 27m,Kids & Family Movies,
A Week Away,2021,7+,1h 37m,Kids & Family Movies,
Go Karts,2020,7+,1h 43m,Kids & Family Movies,
